subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (6).jpg,0.6915716782589345,0.8165804305844211,0.8235948350694444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (1).jpg,0.7014288741980133,0.809505938889774,0.9033203125,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (2).jpg,0.7172971414480764,0.8238356906641973,0.9009060329861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (3).jpg,0.8553866443952444,0.9220569927357871,0.9220648871527778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (4).jpg,0.7219945798507372,0.8317299286911635,0.8791232638888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (5).jpg,0.7453112827863104,0.8507508329678433,0.8763292100694444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (6).jpg,0.6201332387720003,0.7552329608374404,0.8076171875,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (1).jpg,0.7089581458145815,0.8295618992431446,0.8304850260416666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (2).jpg,0.7288375667025357,0.8412019610701272,0.8554416232638888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (3).jpg,0.7445755006133983,0.8535285857453294,0.85400390625,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
