model_id,display_name,group,category,architecture,encoder,input_mode,subset,miou,dice,pixel_acc
metal_fpn_gabor_r34,Metal-FPN Gabor Stack (ResNet34),metallography,texture-aware,FPN,resnet34,gabor3,6280-cast-iron-high,0.4986007859319626,0.6230157583453434,0.777804904513889
metal_fpn_gabor_r34,Metal-FPN Gabor Stack (ResNet34),metallography,texture-aware,FPN,resnet34,gabor3,6280-cast-iron-low,0.19328467132500926,0.28413679012380927,0.4587205058396464
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,4130-steel,0.47507972721847846,0.6371256088413972,0.6503716362847223
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,418-17-4ph-x20,0.4072216034171159,0.5045521204899955,0.7127821180555556
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,418-17-4ph-x5,0.7379110636997335,0.8265074601770709,0.9678363715277777
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,5884-armor-steel,0.6498116541016384,0.7787356989685905,0.8066858362268519
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,6280-cast-iron-high,0.41191985470984627,0.46275815918611174,0.8081922743055555
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,6280-cast-iron-low,0.25283259008479714,0.36901139218708273,0.5340933751578283
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,4130-steel,0.661747146919772,0.7908610334419605,0.7975477430555555
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,418-17-4ph-x20,0.46412463350181127,0.5521308299883687,0.8067904679232805
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,418-17-4ph-x5,0.7660206692511992,0.8503369678058368,0.9723350694444445
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,5884-armor-steel,0.6688117062443049,0.7958348242434928,0.816041976686508
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,6280-cast-iron-high,0.5131095326522979,0.618932415525709,0.8328206380208334
metal_manet_edge4_effb0,Metal-MAnet RGB+Sobel (EfficientNet-B0),metallography,edge-aware,MAnet,tu-efficientnet_b0,edge4,6280-cast-iron-low,0.39533033275665175,0.5538418842247714,0.6218113754734849
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,4130-steel,0.41480228318844414,0.5627149909476991,0.615106201171875
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,418-17-4ph-x20,0.24768844397728657,0.3299465094719866,0.47102218708664023
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,418-17-4ph-x5,0.49328078456227814,0.5981450398565179,0.80765625
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,5884-armor-steel,0.5584531871987624,0.7041162252256674,0.7322578228339948
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,6280-cast-iron-high,0.4939290585777817,0.593350051837998,0.8277669270833334
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,6280-cast-iron-low,0.38523144768533657,0.5405318737650607,0.6263390743371212
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,4130-steel,0.5397687769346192,0.6898689395122956,0.7123053656684027
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,418-17-4ph-x20,0.4196822837210945,0.47796488785985763,0.8004286024305556
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,418-17-4ph-x5,0.7628557196799268,0.8473346244598678,0.9720855034722223
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,5884-armor-steel,0.36228837142863657,0.4866282644617108,0.59315837880291
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,6280-cast-iron-high,0.5101227165703034,0.6537833205647249,0.7384223090277777
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,6280-cast-iron-low,0.41035255850643343,0.5598213154596805,0.6676136363636364
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,4130-steel,0.4982967743346694,0.6565009021249845,0.6866346571180555
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,418-17-4ph-x20,0.3046332465277778,0.35256040946524536,0.6092664930555556
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,418-17-4ph-x5,0.75163948014414,0.8376772779653787,0.9691818576388889
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,5884-armor-steel,0.6910512558397632,0.8131509984302109,0.8275682560350529
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,6280-cast-iron-high,0.4934573373918524,0.5916777078551678,0.8299479166666666
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,6280-cast-iron-low,0.3718460313478019,0.5301674461632792,0.610595703125
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,4130-steel,0.5272996922697991,0.6865861612009868,0.6977322048611111
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,418-17-4ph-x20,0.4370578924239889,0.5119489825624809,0.7947642815806878
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,418-17-4ph-x5,0.7408390217562458,0.8295669357184111,0.9663216145833333
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,5884-armor-steel,0.4892177673964262,0.6533622304245728,0.6607762896825398
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,6280-cast-iron-high,0.491149934960802,0.5859776540317412,0.8340847439236111
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,6280-cast-iron-low,0.4135597941304624,0.5578754923596188,0.675909485479798
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,4130-steel,0.6301251456664264,0.7662720832571056,0.7779703776041667
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,418-17-4ph-x20,0.31985237565629887,0.3902582627197178,0.6060758721891534
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,418-17-4ph-x5,0.7530442891987628,0.8398994172035494,0.9697428385416668
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,5884-armor-steel,0.45211933234831186,0.607478783614491,0.6358894469246031
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,6280-cast-iron-high,0.46827057958958795,0.6171357517574537,0.6915635850694445
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,6280-cast-iron-low,0.32732200135815687,0.46710998857224656,0.5308578953598485
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,4130-steel,0.6500556408004299,0.7812676995780949,0.7877651638454861
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,418-17-4ph-x20,0.30777673932091,0.36250716260958243,0.6057865203373015
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,418-17-4ph-x5,0.731382184145441,0.8187239282553372,0.9628678385416667
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,5884-armor-steel,0.5701926299304735,0.7132466765365684,0.7249646060681216
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,6280-cast-iron-high,0.5305669198440524,0.6739837757982727,0.7523301866319445
metal_unet_gabor_r34,Metal-U-Net Gabor Stack (ResNet34),metallography,texture-aware,Unet,resnet34,gabor3,6280-cast-iron-low,0.4562764811624284,0.610579374543848,0.69180328677399
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,4130-steel,0.5111781340132092,0.6686278270439985,0.696148681640625
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,418-17-4ph-x20,0.2786748810972353,0.39662486105852146,0.43533244460978837
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,418-17-4ph-x5,0.7485699458387163,0.835106448994119,0.9711707899305556
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,5884-armor-steel,0.6589469209734788,0.7883622573572501,0.8053488756613757
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,6280-cast-iron-high,0.5441513800025022,0.6686466360803234,0.8130913628472222
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,6280-cast-iron-low,0.3195756189726628,0.46948001733138567,0.5383843315972222
